Cluster	RA	DEC	l	b	Rsun	ERsun	R_GC	<RV>	ERV	mualpha	Emualpha	mu_delta	Emu_delta	rhopmrade	X	DX	Y	DY	Z	DZ	U	DU	V	DV	W	DW	RPERI	ERPERI	RAPO	ERAPO
	Name	[kpc]	[kpc]	[km/s]	[km/s]	[mas/yr]	[mas/yr]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[kpc]	[kpc]
Lynga_7	242.765213	-55.317776	328.769	-2.797	7.90	0.16	4.35	17.86	0.83	-3.851	0.027	-7.050	0.027	0.02	1.43	0.14	-4.09	0.08	-0.39	0.01	125.62	0.89	1.30	0.97	-88.38	1.03	1.78	0.06	4.36	0.07
NGC_6093	244.260040	-22.976084	352.673	19.463	10.34	0.12	3.95	10.93	0.39	-2.934	0.027	-5.578	0.026	-0.02	-1.17	0.11	-1.20	0.01	3.33	0.04	-9.55	0.58	-38.93	1.25	-60.68	1.19	0.66	0.08	3.88	0.06
NGC_6121	245.896744	-26.525749	350.973	15.972	1.85	0.02	6.45	71.21	0.15	-12.514	0.023	-19.021	0.023	-0.00	6.42	0.02	-0.28	0.00	0.51	0.00	-56.20	0.16	45.25	0.20	-3.05	0.20	0.62	0.07	6.51	0.12
NGC_6101	246.450485	-72.202194	317.746	-15.825	14.45	0.19	10.36	366.33	0.32	1.756	0.025	-0.258	0.025	0.00	-2.11	0.13	-9.35	0.12	-3.94	0.05	-296.69	1.20	83.55	1.30	-190.14	1.62	10.19	0.13	35.67	1.19
NGC_6144	246.807770	-26.023500	351.929	15.701	8.15	0.13	2.50	194.79	0.58	-1.744	0.026	-2.607	0.026	-0.01	0.41	0.12	-1.10	0.02	2.21	0.03	-184.34	0.63	106.41	1.00	44.03	0.99	1.90	0.11	3.12	0.05
NGC_6139	246.918466	-38.848782	342.366	6.939	10.04	0.45	3.51	24.41	0.95	-6.082	0.027	-2.711	0.026	0.00	-1.32	0.43	-3.02	0.14	1.21	0.05	68.42	0.98	-29.53	1.23	130.64	1.25	1.35	0.26	3.62	0.33
Ter_3	247.162483	-35.339829	345.084	9.199	7.64	0.31	2.46	-135.76	0.57	-5.576	0.027	-1.759	0.026	0.01	0.89	0.30	-1.94	0.08	1.22	0.05	181.99	0.62	112.94	0.93	88.73	0.95	2.38	0.06	2.88	0.08
NGC_6171	248.132752	-13.053778	3.373	23.011	5.63	0.08	3.74	-34.71	0.18	-1.939	0.025	-5.980	0.025	0.00	3.00	0.07	0.30	0.00	2.20	0.03	-10.28	0.31	93.65	0.67	-57.64	0.62	1.21	0.04	3.83	0.03
ESO_452-SC11	249.854167	-28.399167	351.909	12.098	7.39	0.20	2.12	16.37	0.44	-1.422	0.031	-6.472	0.030	-0.05	1.03	0.19	-1.02	0.03	1.55	0.04	-20.56	0.51	43.61	1.07	-95.33	1.06	0.35	0.11	2.37	0.14
NGC_6205	250.421814	36.459862	59.007	40.913	7.42	0.08	8.64	-244.90	0.30	-3.150	0.023	-2.573	0.023	-0.01	5.29	0.03	4.81	0.05	4.86	0.05	30.42	0.76	-15.23	0.64	-77.45	0.63	1.51	0.02	8.72	0.05
